0600	10
0610	10
0620	10
0630	10
0640	10
0650	10
0700	9
0710	9
0720	9
0730	9
0740	9
0750	9
0800	8
0810	8
0820	7
0830	6
0840	5
0850	4
0900	3
0910	2
0920	1
0930	1
0940	1
0950	1
1000	1
1010	1
1020	1
1030	1
1040	1
1050	0
1100	0
1110	0
1120	0
1130	1
1140	0
1150	0
1200	0
1210	0
1220	0
1230	0
1240	0
1250	1
1300	0
1310	1
1320	0
1330	0
1340	0
1350	1
1400	1
1410	0
1420	0
1430	0
1440	1
1450	0	
1500	0
1510	0
1520	0
1530	0
1540	0
1550	0
1600	1
1610	1
1620	1
1630	1
1640	1
1650	1
1700	1
1710	1
1720	1
1730	1
1740	1
1750 	1
1800	1	
1810	1
1820	0	
1830	0
1840	1
1850	0
1900	0
1910	0
1920	1
1930	0
1940	1
1950	1	
2000	1
2010	1
2020	2
2030	2
2040	2
2050	2
2100	2
2110	2
2120	3
2130	4
2140	5
2150	6
2200	6
2210	6
2220	6
2230	7
2240	7
2250	7
2300	8
2310	8
2320	8
2330	9
2340	9
2350	9
0000	9
