<root>
  <name value="High Churn"/>
  <lot name="L1" capacity="200" count="200" weight="0.9" poi="A" order="1"/>
  <lot name="L2" capacity="200" count="200" weight="0.1" poi="A" order="1"/>
  <rate length="4H" arrival="200H" departure="150H"/>
  <rate length="4H" arrival="150H" departure="200H"/>
  <rate length="4H" arrival="200H" departure="150H"/>
  <rate length="4H" arrival="150H" departure="200H"/>
  <rate length="4H" arrival="200H" departure="150H"/>
  <rate length="4H" arrival="150H" departure="200H"/>
  <simulation monitored="0.05" search="0.0" arrival="0.9" departure="0.9" seed="6"/>
  <estimation error="0.1" interval="900.0" seed="None" search="1.0" monitored="0.0459031734517"/>
</root>

--------------------------
28.38 C L1 200
28.38 C L2 200
41.42 C L1 199
41.42 C L2 200
47.95 C L1 200
47.95 C L2 200
57.57 C L1 200
57.57 C L2 200
72.09 C L1 200
72.09 C L2 200
76.70 C L1 200
76.70 C L2 199
92.92 C L1 200
92.92 C L2 200
111.06 C L1 200
111.06 C L2 200
115.09 C L1 200
115.09 C L2 200
115.36 C L1 200
115.36 C L2 199
154.66 C L1 200
154.66 C L2 198
158.34 C L1 200
158.34 C L2 199
171.75 C L1 200
171.75 C L2 200
176.76 C L1 199
176.76 C L2 200
183.65 A L1
183.65 P L1 1.0 0:0.066 20:0.092 40:0.100 60:0.103 80:0.105 100:0.105 120:0.104 140:0.101 160:0.093 180:0.132
183.65 P L2 0.944547731666 0:0.120 20:0.087 40:0.095 60:0.097 80:0.098 100:0.098 120:0.098 140:0.095 160:0.087 180:0.124
183.65 C L1 200
183.65 C L2 200
205.51 C L1 200
205.51 C L2 199
217.34 C L1 199
217.34 C L2 199
225.91 C L1 200
225.91 C L2 199
230.53 C L1 200
230.53 C L2 198
230.98 C L1 200
230.98 C L2 199
242.44 C L1 200
242.44 C L2 200
248.00 C L1 200
248.00 C L2 200
248.40 C L1 200
248.40 C L2 200
253.73 C L1 200
253.73 C L2 200
263.24 C L1 200
263.24 C L2 200
274.83 C L1 200
274.83 C L2 200
281.40 C L1 200
281.40 C L2 200
283.40 C L1 200
283.40 C L2 199
292.66 C L1 199
292.66 C L2 199
344.98 C L1 200
344.98 C L2 199
346.04 C L1 200
346.04 C L2 200
354.13 C L1 200
354.13 C L2 200
357.98 C L1 200
357.98 C L2 200
358.87 C L1 200
358.87 C L2 199
361.40 C L1 199
361.40 C L2 199
383.79 C L1 198
383.79 C L2 199
385.43 C L1 199
385.43 C L2 199
386.46 C L1 199
386.46 C L2 198
388.56 C L1 199
388.56 C L2 197
403.28 C L1 200
403.28 C L2 197
405.94 C L1 200
405.94 C L2 198
433.07 C L1 200
433.07 C L2 199
442.26 C L1 200
442.26 C L2 198
444.36 C L1 200
444.36 C L2 197
457.88 C L1 200
457.88 C L2 196
462.06 C L1 200
462.06 C L2 197
470.39 C L1 200
470.39 C L2 198
492.10 C L1 200
