<root>
  <name value="Slow Fill"/>
  <lot name="L1" capacity="200" count="0" weight="0.9" poi="A" order="1"/>
  <lot name="L2" capacity="200" count="0" weight="0.1" poi="A" order="2"/>
  <rate length="6H" arrival="10H" departure="10H"/>
  <rate length="6H" arrival="60H" departure="10H"/>
  <rate length="6H" arrival="10H" departure="60H"/>
  <rate length="6H" arrival="10H" departure="10H"/>
  <simulation monitored="0.1" search="0.0" arrival="0.9" departure="0.9" seed="4"/>
  <estimation error="1.0" interval="900.0" seed="None" search="1.0" monitored="0.169759235817"/>
</root>

--------------------------
39.20 C L1 0
39.20 C L2 0
63.98 C L1 0
63.98 C L2 0
96.93 C L1 1
96.93 C L2 0
213.54 C L1 2
213.54 C L2 0
644.19 C L1 1
644.19 C L2 0
721.58 C L1 0
721.58 C L2 0
1158.12 C L1 1
1158.12 C L2 0
1415.88 C L1 0
1415.88 C L2 0
1449.57 C L1 0
1449.57 C L2 0
1559.10 C L1 1
1559.10 C L2 0
1735.15 C L1 0
1735.15 C L2 0
2064.04 C L1 0
2064.04 C L2 0
2195.08 C L1 0
2195.08 C L2 0
2212.15 C L1 0
2212.15 C L2 0
2329.41 C L1 1
2329.41 C L2 0
2407.76 C L1 2
2407.76 C L2 0
2487.52 C L1 1
2487.52 C L2 0
900.0 P* L1 0.983987383332 0:0.100 20:0.099 40:0.099 60:0.100 80:0.100 100:0.100 120:0.100 140:0.099 160:0.099 180:0.105
1800.0 P* L1 0.980692394361 0:0.100 20:0.099 40:0.099 60:0.100 80:0.100 100:0.100 120:0.100 140:0.099 160:0.099 180:0.105
900.0 P* L2 0.983987383332 0:0.100 20:0.099 40:0.099 60:0.100 80:0.100 100:0.100 120:0.100 140:0.099 160:0.099 180:0.105
1800.0 P* L2 0.980692394361 0:0.100 20:0.099 40:0.099 60:0.100 80:0.100 100:0.100 120:0.100 140:0.099 160:0.099 180:0.105
2524.17 A L2
2524.17 P L1 0.939915186907 0:0.178 20:0.100 40:0.100 60:0.100 80:0.100 100:0.100 120:0.099 140:0.098 160:0.085 180:0.042
2524.17 P L2 1.0 0:0.086 20:0.104 40:0.104 60:0.105 80:0.105 100:0.105 120:0.105 140:0.104 160:0.100 180:0.084
2524.17 C L1 1
2524.17 C L2 1
2781.87 C L1 1
2781.87 C L2 0
2852.23 C L1 0
2852.23 C L2 0
3045.76 C L1 0
3045.76 C L2 1
3052.37 C L1 1
3052.37 C L2 1
3242.58 C L1 1
3242.58 C L2 2
3367.61 C L1 2
3367.61 C L2 2
3424.17 P* L1 0.947768082995 0:0.176 20:0.101 40:0.100 60:0.100 80:0.100 100:0.100 120:0.099 140:0.097 160:0.083 180:0.045
3424.17 P* L2 0.989858288992 0:0.087 20:0.103 40:0.104 60:0.105 80:0.105 100:0.105 120:0.105 140:0.104 160:0.099 180:0.085
3540.65 A L2
3540.65 P L1 0.927356378495 0:0.210 20:0.104 40:0.102 60:0.102 80:0.102 100:0.101 120:0.100 140:0.092 160:0.064 180:0.024
3540.65 P L2 1.0 0:0.072 20:0.103 40:0.106 60:0.106 80:0.106 100:0.106 120:0.106 140:0.105 160:0.099 180:0.089
3540.65 C L1 2
3540.65 C L2 3
3607.54 C L1 3
3607.54 C L2 3
3644.32 C L1 3
3644.32 C L2 4
