<root>
  <name value="Fast Fill"/>
  <lot name="L1" capacity="200" count="0" weight="0.9" poi="A" order="1"/>
  <lot name="L2" capacity="200" count="0" weight="0.1" poi="A" order="2"/>
  <rate length="8H" arrival="10H" departure="10H"/>
  <rate length="1H" arrival="300H" departure="10H"/>
  <rate length="3H" arrival="50H" departure="10H"/>
  <rate length="3H" arrival="10H" departure="50H"/>
  <rate length="1H" arrival="10H" departure="300H"/>
  <rate length="8H" arrival="10H" departure="10H"/>
  <simulation monitored="0.1" search="0.0" arrival="0.9" departure="0.9" seed="3"/>
  <estimation error="0.5" interval="900.0" seed="None" search="1.0" monitored="0.145174987246"/>
</root>

--------------------------
97.83 C L1 1
97.83 C L2 0
122.23 C L1 2
122.23 C L2 0
218.36 C L1 2
218.36 C L2 1
282.88 C L1 2
282.88 C L2 0
451.25 C L1 3
451.25 C L2 0
475.08 C L1 4
475.08 C L2 0
486.42 C L1 5
486.42 C L2 0
1011.98 C L1 4
1011.98 C L2 0
1246.17 C L1 5
1246.17 C L2 0
1283.08 C L1 6
1283.08 C L2 0
1489.36 C L1 7
1489.36 C L2 0
1593.02 C L1 6
1593.02 C L2 0
1664.87 C L1 7
1664.87 C L2 0
2437.40 C L1 6
2437.40 C L2 0
3360.25 C L1 6
3360.25 C L2 1
3445.62 C L1 7
3445.62 C L2 1
900.0 P* L1 0.98152394688 0:0.100 20:0.099 40:0.099 60:0.100 80:0.100 100:0.100 120:0.100 140:0.099 160:0.099 180:0.105
1800.0 P* L1 0.977599687027 0:0.101 20:0.098 40:0.099 60:0.099 80:0.100 100:0.100 120:0.099 140:0.099 160:0.098 180:0.106
2700.0 P* L1 0.975625537073 0:0.103 20:0.097 40:0.099 60:0.099 80:0.100 100:0.100 120:0.099 140:0.099 160:0.097 180:0.107
900.0 P* L2 0.98152394688 0:0.100 20:0.099 40:0.099 60:0.100 80:0.100 100:0.100 120:0.100 140:0.099 160:0.099 180:0.105
1800.0 P* L2 0.977599687027 0:0.101 20:0.098 40:0.099 60:0.099 80:0.100 100:0.100 120:0.099 140:0.099 160:0.098 180:0.106
2700.0 P* L2 0.975625537073 0:0.103 20:0.097 40:0.099 60:0.099 80:0.100 100:0.100 120:0.099 140:0.099 160:0.097 180:0.107
3469.22 A L1
3469.22 P L1 1.0 0:0.084 20:0.103 40:0.105 60:0.106 80:0.106 100:0.106 120:0.105 140:0.104 160:0.097 180:0.084
3469.22 P L2 0.974390144826 0:0.104 20:0.095 40:0.099 60:0.099 80:0.099 100:0.099 120:0.099 140:0.099 160:0.096 180:0.109
3469.22 C L1 8
3469.22 C L2 1
3640.51 C L1 7
3640.51 C L2 1
3659.45 A L1
3659.45 P L1 1.0 0:0.073 20:0.103 40:0.107 60:0.107 80:0.107 100:0.107 120:0.107 140:0.105 160:0.097 180:0.088
3659.45 P L2 0.973524910102 0:0.105 20:0.094 40:0.099 60:0.099 80:0.099 100:0.099 120:0.099 140:0.099 160:0.095 180:0.110
3659.45 C L1 8
3659.45 C L2 1
3804.14 C L1 9
3804.14 C L2 1
4382.74 C L1 8
4382.74 C L2 1
4394.22 C L1 7
4394.22 C L2 1
4455.36 C L1 6
4455.36 C L2 1
5602.29 C L1 6
5602.29 C L2 0
5866.57 C L1 5
5866.57 C L2 0
6147.12 C L1 5
6147.12 C L2 1
