<root>
  <name value="Low Churn"/>
  <lot name="L1" capacity="200" count="0" weight="0.9" poi="A" order="1"/>
  <lot name="L2" capacity="200" count="0" weight="0.1" poi="A" order="1"/>
  <rate length="4H" arrival="50H" departure="40H"/>
  <rate length="4H" arrival="40H" departure="50H"/>
  <rate length="4H" arrival="50H" departure="40H"/>
  <rate length="4H" arrival="40H" departure="50H"/>
  <rate length="4H" arrival="50H" departure="40H"/>
  <rate length="4H" arrival="40H" departure="50H"/>
  <simulation monitored="0.1" search="0.0" arrival="0.9" departure="0.9" seed="1"/>
  <estimation error="0.1" interval="900.0" seed="None" search="1.0"/>
</root>

--------------------------
10.39 C L1 1
10.39 C L2 0
53.37 A L1
53.37 P L1 1.0 0:0.076 20:0.100 40:0.102 60:0.102 80:0.102 100:0.102 120:0.102 140:0.102 160:0.100 180:0.110
53.37 P L2 0.975216460015 0:0.102 20:0.097 40:0.099 60:0.099 80:0.099 100:0.099 120:0.099 140:0.099 160:0.098 180:0.107
53.37 C L1 2
53.37 C L2 0
169.21 D L1
169.21 P L1 1.0 0:0.063 20:0.100 40:0.106 60:0.107 80:0.107 100:0.107 120:0.107 140:0.107 160:0.103 180:0.090
169.21 P L2 0.969694612327 0:0.105 20:0.095 40:0.099 60:0.099 80:0.099 100:0.099 120:0.099 140:0.099 160:0.095 180:0.110
169.21 C L1 1
169.21 C L2 0
183.43 C L1 2
183.43 C L2 0
185.67 C L1 3
185.67 C L2 0
220.23 A L1
220.23 P L1 1.0 0:0.056 20:0.097 40:0.107 60:0.109 80:0.109 100:0.109 120:0.109 140:0.108 160:0.101 180:0.096
220.23 P L2 0.966925042934 0:0.108 20:0.093 40:0.098 60:0.099 80:0.099 100:0.099 120:0.099 140:0.098 160:0.093 180:0.112
220.23 C L1 4
220.23 C L2 0
261.70 C L1 5
261.70 C L2 0
279.48 A L1
279.48 P L1 1.0 0:0.051 20:0.093 40:0.106 60:0.110 80:0.110 100:0.110 120:0.110 140:0.108 160:0.099 180:0.102
279.48 P L2 0.965192965343 0:0.111 20:0.091 40:0.097 60:0.099 80:0.099 100:0.099 120:0.099 140:0.097 160:0.092 180:0.115
279.48 C L1 6
279.48 C L2 0
284.28 C L1 5
284.28 C L2 0
338.01 C L1 6
338.01 C L2 0
427.44 C L1 6
427.44 C L2 1
461.19 C L1 5
461.19 C L2 1
507.33 A L1
507.33 P L1 1.0 0:0.066 20:0.100 40:0.111 60:0.114 80:0.114 100:0.114 120:0.112 140:0.106 160:0.090 180:0.074
507.33 P L2 0.963980186103 0:0.113 20:0.090 40:0.096 60:0.099 80:0.099 100:0.099 120:0.099 140:0.097 160:0.091 180:0.117
507.33 C L1 6
507.33 C L2 1
622.28 C L1 7
622.28 C L2 1
629.68 C L1 7
629.68 C L2 0
693.59 C L1 6
693.59 C L2 0
709.70 C L1 7
709.70 C L2 0
754.14 C L1 6
754.14 C L2 0
816.93 C L1 5
816.93 C L2 0
994.06 C L1 4
994.06 C L2 0
1003.86 C L1 5
1003.86 C L2 0
1071.67 C L1 4
1071.67 C L2 0
1230.61 C L1 5
1230.61 C L2 0
1267.25 C L1 4
1267.25 C L2 0
1289.94 C L1 5
1289.94 C L2 0
1321.72 C L1 6
1321.72 C L2 0
1343.21 C L1 5
1343.21 C L2 0
1360.76 C L1 4
1360.76 C L2 0
1389.97 C L1 5
1389.97 C L2 0
1407.33 P* L1 0.985785652299 0:0.072 20:0.096 40:0.109 60:0.113 80:0.114 100:0.114 120:0.111 140:0.104 160:0.087 180:0.079
1407.33 P* L2 0.963070471927 0:0.114 20:0.090 40:0.096 60:0.098 80:0.099 100:0.099 120:0.098 140:0.096 160:0.090 180:0.119
1470.47 A L1
1470.47 P L1 1.0 0:0.058 20:0.094 40:0.110 60:0.115 80:0.116 100:0.116 120:0.113 140:0.105 160:0.088 180:0.087
1470.47 P L2 0.962355642396 0:0.116 20:0.089 40:0.095 60:0.098 80:0.099 100:0.099 120:0.098 140:0.095 160:0.090 180:0.120
1470.47 C L1 6
1470.47 C L2 0
1491.14 C L1 7
1491.14 C L2 0
1496.33 C L1 8
1496.33 C L2 0
1504.32 C L1 7
1504.32 C L2 0
1519.28 C L1 8
1519.28 C L2 0
1534.28 C L1 9
1534.28 C L2 0
1551.16 A L1
1551.16 P L1 1.0 0:0.051 20:0.092 40:0.109 60:0.116 80:0.118 100:0.117 120:0.113 140:0.104 160:0.088 180:0.092
1551.16 P L2 0.961774831695 0:0.117 20:0.089 40:0.095 60:0.098 80:0.099 100:0.099 120:0.098 140:0.095 160:0.090 180:0.122
1551.16 C L1 10
1551.16 C L2 0
1562.10 C L1 9
1562.10 C L2 0
1562.57 C L1 10
1562.57 C L2 0
1664.13 C L1 9
1664.13 C L2 0
1677.66 C L1 10
1677.66 C L2 0
1682.02 C L1 11
1682.02 C L2 0
1708.37 C L1 12
1708.37 C L2 0
1709.35 D L1
1709.35 P L1 1.0 0:0.046 20:0.090 40:0.111 60:0.119 80:0.122 100:0.121 120:0.117 140:0.108 160:0.091 180:0.075
1709.35 P L2 0.961290845363 0:0.118 20:0.089 40:0.094 60:0.097 80:0.099 100:0.099 120:0.097 140:0.094 160:0.089 180:0.123
1709.35 C L1 11
1709.35 C L2 0
1712.83 C L1 10
1712.83 C L2 0
1729.76 C L1 9
1729.76 C L2 0
1793.75 C L1 8
1793.75 C L2 0
1806.43 C L1 9
1806.43 C L2 0
1885.37 C L1 10
1885.37 C L2 0
1894.67 C L1 9
1894.67 C L2 0
1930.41 C L1 8
1930.41 C L2 0
1951.97 C L1 7
1951.97 C L2 0
1989.90 C L1 6
1989.90 C L2 0
2033.17 A L1
2033.17 P L1 1.0 0:0.063 20:0.100 40:0.117 60:0.124 80:0.125 100:0.123 120:0.115 140:0.102 160:0.080 180:0.052
2033.17 P L2 0.9608795154 0:0.119 20:0.089 40:0.094 60:0.097 80:0.098 100:0.098 120:0.097 140:0.094 160:0.089 180:0.124
2033.17 C L1 7
2033.17 C L2 0
2207.34 C L1 8
2207.34 C L2 0
2339.80 C L1 9
2339.80 C L2 0
2370.97 C L1 8
2370.97 C L2 0
2384.06 D L1
2384.06 P L1 1.0 0:0.053 20:0.096 40:0.117 60:0.126 80:0.129 100:0.126 120:0.118 140:0.104 160:0.081 180:0.050
2384.06 P L2 0.960524376023 0:0.120 20:0.089 40:0.094 60:0.097 80:0.098 100:0.098 120:0.097 140:0.094 160:0.089 180:0.125
2384.06 C L1 7
2384.06 C L2 0
2485.28 C L1 8
2485.28 C L2 0
2554.04 C L1 9
2554.04 C L2 0
2565.07 C L1 8
2565.07 C L2 0
2572.27 C L1 8
2572.27 C L2 1
2639.87 C L1 8
2639.87 C L2 0
2648.52 D L1
2648.52 P L1 1.0 0:0.028 20:0.075 40:0.107 60:0.124 80:0.131 100:0.131 120:0.126 140:0.114 160:0.095 180:0.068
2648.52 P L2 0.96021377871 0:0.121 20:0.089 40:0.093 60:0.096 80:0.098 100:0.098 120:0.096 140:0.093 160:0.089 180:0.125
2648.52 C L1 7
2648.52 C L2 0
2683.62 C L1 8
2683.62 C L2 0
2703.51 C L1 9
2703.51 C L2 0
2737.73 C L1 9
2737.73 C L2 1
2758.77 C L1 10
2758.77 C L2 1
2761.69 C L1 11
2761.69 C L2 1
2827.04 C L1 12
2827.04 C L2 1
3047.78 C L1 12
3047.78 C L2 0
3079.07 C L1 12
3079.07 C L2 1
3134.34 C L1 11
3134.34 C L2 1
3157.13 C L1 12
3157.13 C L2 1
3159.80 C L1 12
3159.80 C L2 0
3199.90 C L1 13
3199.90 C L2 0
3204.36 C L1 12
3204.36 C L2 0
3275.08 C L1 11
3275.08 C L2 0
3276.93 C L1 10
3276.93 C L2 0
3283.55 C L1 9
3283.55 C L2 0
3335.13 C L1 10
3335.13 C L2 0
3385.25 C L1 11
3385.25 C L2 0
3398.94 C L1 12
3398.94 C L2 0
3424.95 C L1 11
3424.95 C L2 0
3426.69 C L1 12
3426.69 C L2 0
3429.01 C L1 13
3429.01 C L2 0
3456.22 C L1 12
3456.22 C L2 0
3473.87 C L1 11
3473.87 C L2 0
3573.05 C L1 10
3573.05 C L2 0
3600.14 C L1 11
3600.14 C L2 0
3643.62 C L1 12
3643.62 C L2 0
3645.40 C L1 13
3645.40 C L2 0
3650.03 C L1 14
3650.03 C L2 0
3671.63 C L1 15
3671.63 C L2 0
3721.69 C L1 14
3721.69 C L2 0
3739.88 C L1 15
3739.88 C L2 0
3784.24 C L1 14
3784.24 C L2 0
3807.18 C L1 13
3807.18 C L2 0
3548.52 P* L1 0.99377172066 0:0.037 20:0.073 40:0.104 60:0.122 80:0.130 100:0.130 120:0.125 140:0.113 160:0.092 180:0.074
3548.52 P* L2 0.959939226957 0:0.122 20:0.089 40:0.093 60:0.096 80:0.097 100:0.097 120:0.096 140:0.093 160:0.089 180:0.126
3834.53 A L1
3834.53 P L1 1.0 0:0.034 20:0.072 40:0.103 60:0.121 80:0.130 100:0.130 120:0.125 140:0.112 160:0.091 180:0.081
3834.53 P L2 0.959694364348 0:0.122 20:0.089 40:0.093 60:0.096 80:0.097 100:0.097 120:0.096 140:0.093 160:0.090 180:0.127
3834.53 C L1 14
3834.53 C L2 0
3886.14 C L1 15
3886.14 C L2 0
4031.96 C L1 14
4031.96 C L2 0
4040.63 C L1 15
4040.63 C L2 0
4073.77 C L1 14
4073.77 C L2 0
4091.22 C L1 13
4091.22 C L2 0
4180.30 C L1 14
4180.30 C L2 0
4211.09 C L1 15
4211.09 C L2 0
4214.08 C L1 15
4214.08 C L2 1
4218.82 C L1 15
4218.82 C L2 0
4236.50 C L1 16
4236.50 C L2 0
4278.90 C L1 16
4278.90 C L2 1
4353.38 C L1 15
4353.38 C L2 1
4365.53 C L1 15
4365.53 C L2 0
4395.76 C L1 16
4395.76 C L2 0
4416.30 C L1 17
4416.30 C L2 0
4448.15 C L1 16
4448.15 C L2 0
4457.89 C L1 17
4457.89 C L2 0
4480.87 C L1 18
4480.87 C L2 0
4593.61 C L1 19
4593.61 C L2 0
4610.49 C L1 18
4610.49 C L2 0
4642.21 C L1 19
4642.21 C L2 0
4651.25 C L1 20
4651.25 C L2 0
4653.99 C L1 19
4653.99 C L2 0
4730.49 C L1 18
4730.49 C L2 0
4754.33 C L1 19
4754.33 C L2 0
4780.50 C L1 20
4780.50 C L2 0
4798.13 C L1 19
4798.13 C L2 0
4798.48 C L1 18
4798.48 C L2 0
4829.31 C L1 19
4829.31 C L2 0
4957.65 C L1 18
4957.65 C L2 0
4958.86 C L1 19
4958.86 C L2 0
4990.44 C L1 18
4990.44 C L2 0
4990.93 C L1 19
4990.93 C L2 0
5037.21 C L1 18
5037.21 C L2 0
5129.25 C L1 17
5129.25 C L2 0
5155.22 C L1 18
5155.22 C L2 0
5218.55 C L1 17
5218.55 C L2 0
5257.24 C L1 16
5257.24 C L2 0
5290.05 C L1 17
5290.05 C L2 0
5327.97 C L1 16
5327.97 C L2 0
4734.53 P* L1 0.992533918111 0:0.041 20:0.071 40:0.101 60:0.119 80:0.128 100:0.129 120:0.123 140:0.111 160:0.090 180:0.087
4734.53 P* L2 0.959474332829 0:0.123 20:0.089 40:0.093 60:0.095 80:0.097 100:0.097 120:0.096 140:0.093 160:0.090 180:0.127
5335.37 A L1
5335.37 P L1 1.0 0:0.050 20:0.086 40:0.111 60:0.126 80:0.131 100:0.129 120:0.120 140:0.103 160:0.080 180:0.063
5335.37 P L2 0.959275350767 0:0.123 20:0.090 40:0.093 60:0.095 80:0.097 100:0.097 120:0.095 140:0.093 160:0.090 180:0.128
5335.37 C L1 17
5335.37 C L2 0
5377.40 C L1 16
5377.40 C L2 0
5460.99 C L1 15
5460.99 C L2 0
5489.20 C L1 14
5489.20 C L2 0
5530.53 C L1 13
5530.53 C L2 0
5545.69 C L1 14
5545.69 C L2 0
5613.42 C L1 15
5613.42 C L2 0
5625.81 C L1 14
5625.81 C L2 0
5725.71 A L1
5725.71 P L1 1.0 0:0.063 20:0.100 40:0.121 60:0.132 80:0.134 100:0.128 120:0.115 140:0.094 160:0.068 180:0.046
5725.71 P L2 0.959094426856 0:0.124 20:0.090 40:0.093 60:0.095 80:0.096 100:0.096 120:0.095 140:0.093 160:0.090 180:0.128
5725.71 C L1 15
5725.71 C L2 0
5795.84 C L1 16
5795.84 C L2 0
5906.65 C L1 17
5906.65 C L2 0
5924.46 C L1 16
5924.46 C L2 0
6008.35 C L1 15
