<root>
  <name value="Low Churn"/>
  <lot name="L1" capacity="200" count="0" weight="0.9" poi="A" order="1"/>
  <lot name="L2" capacity="200" count="0" weight="0.1" poi="A" order="1"/>
  <rate length="4H" arrival="50H" departure="40H"/>
  <rate length="4H" arrival="40H" departure="50H"/>
  <rate length="4H" arrival="50H" departure="40H"/>
  <rate length="4H" arrival="40H" departure="50H"/>
  <rate length="4H" arrival="50H" departure="40H"/>
  <rate length="4H" arrival="40H" departure="50H"/>
  <simulation monitored="0.1" search="0.0" arrival="0.9" departure="0.9" seed="4"/>
  <estimation error="1.0" interval="900.0" seed="None" search="1.0" monitored="0.0681485599637"/>
</root>

--------------------------
9.80 C L1 0
9.80 C L2 0
15.99 C L1 0
15.99 C L2 0
19.39 C L1 1
19.39 C L2 0
42.71 C L1 2
42.71 C L2 0
161.05 C L1 1
161.05 C L2 0
180.39 C L1 0
180.39 C L2 0
231.62 C L1 1
231.62 C L2 0
311.82 C L1 2
311.82 C L2 0
318.56 C L1 2
318.56 C L2 1
344.26 C L1 2
344.26 C L2 2
353.97 C L1 2
353.97 C L2 1
404.72 C L1 1
404.72 C L2 1
408.70 C L1 0
408.70 C L2 1
477.54 C L1 0
477.54 C L2 0
479.92 C L1 1
479.92 C L2 0
497.13 C L1 0
497.13 C L2 0
503.21 A L2
503.21 P L1 0.962210365776 0:0.108 20:0.093 40:0.098 60:0.099 80:0.099 100:0.099 120:0.099 140:0.098 160:0.093 180:0.112
503.21 P L2 1.0 0:0.087 20:0.107 40:0.109 60:0.110 80:0.110 100:0.109 120:0.108 140:0.102 160:0.086 180:0.071
503.21 C L1 0
503.21 C L2 1
570.72 C L1 0
570.72 C L2 0
588.31 C L1 0
588.31 C L2 0
607.53 C L1 1
607.53 C L2 0
695.86 C L1 0
695.86 C L2 0
830.20 C L1 0
830.20 C L2 0
839.05 C L1 1
839.05 C L2 0
881.33 C L1 2
881.33 C L2 0
910.30 C L1 3
910.30 C L2 0
917.41 C L1 2
917.41 C L2 0
967.05 D L1
967.05 P L1 1.0 0:0.050 20:0.084 40:0.101 60:0.109 80:0.112 100:0.113 120:0.113 140:0.112 160:0.107 180:0.101
967.05 P L2 0.912444908434 0:0.173 20:0.104 40:0.108 60:0.109 80:0.108 100:0.105 120:0.098 140:0.084 160:0.062 180:0.049
967.05 C L1 1
967.05 C L2 0
1020.56 C L1 2
1020.56 C L2 0
1041.18 C L1 2
1041.18 C L2 1
1068.71 C L1 1
1068.71 C L2 1
1093.63 C L1 0
1093.63 C L2 1
1119.35 C L1 0
1119.35 C L2 0
1122.24 C L1 0
1122.24 C L2 0
1143.24 C L1 0
1143.24 C L2 0
1148.19 C L1 1
1148.19 C L2 0
1156.99 C L1 0
1156.99 C L2 0
1297.82 C L1 0
1297.82 C L2 0
1306.59 C L1 0
1306.59 C L2 0
1484.00 C L1 0
1484.00 C L2 1
1513.61 C L1 0
1513.61 C L2 0
1599.70 C L1 1
1599.70 C L2 0
1609.32 C L1 0
1609.32 C L2 0
1708.65 C L1 0
1708.65 C L2 0
1720.94 C L1 0
1720.94 C L2 0
1726.56 C L1 0
1726.56 C L2 0
1802.35 C L1 0
1802.35 C L2 0
1824.54 C L1 0
1824.54 C L2 0
1825.05 C L1 1
1825.05 C L2 0
1825.73 C L1 0
1825.73 C L2 0
1846.00 C L1 0
1846.00 C L2 0
1935.05 C L1 1
1935.05 C L2 0
1936.97 C L1 2
1936.97 C L2 0
2046.10 C L1 1
2046.10 C L2 0
2081.00 C L1 2
2081.00 C L2 0
2177.43 C L1 1
2177.43 C L2 0
2207.56 C L1 2
2207.56 C L2 0
2316.77 C L1 1
2316.77 C L2 0
2451.61 C L1 2
2451.61 C L2 0
2511.70 C L1 1
2511.70 C L2 0
2544.09 C L1 0
2544.09 C L2 0
2559.52 C L1 1
2559.52 C L2 0
2560.58 C L1 0
2560.58 C L2 0
2608.60 C L1 1
2608.60 C L2 0
1867.05 P* L1 0.979790329792 0:0.065 20:0.077 40:0.096 60:0.106 80:0.110 100:0.112 120:0.112 140:0.109 160:0.100 180:0.112
1867.05 P* L2 0.922266259982 0:0.174 20:0.104 40:0.107 60:0.108 80:0.107 100:0.103 120:0.095 140:0.081 160:0.061 180:0.060
2656.59 A L1
2656.59 P L1 1.0 0:0.066 20:0.093 40:0.108 60:0.115 80:0.118 100:0.118 120:0.114 140:0.104 160:0.085 180:0.079
2656.59 P L2 0.923408394678 0:0.175 20:0.104 40:0.106 60:0.107 80:0.105 100:0.101 120:0.092 140:0.079 160:0.061 180:0.070
2656.59 C L1 2
2656.59 C L2 0
2672.15 C L1 1
2672.15 C L2 0
2760.83 C L1 0
2760.83 C L2 0
2792.03 C L1 1
2792.03 C L2 0
2937.57 C L1 2
2937.57 C L2 0
2948.48 C L1 3
2948.48 C L2 0
2958.78 C L1 4
2958.78 C L2 0
2972.86 C L1 4
2972.86 C L2 1
2980.38 C L1 4
2980.38 C L2 0
3003.93 C L1 5
3003.93 C L2 0
3029.67 C L1 6
3029.67 C L2 0
3157.15 C L1 7
3157.15 C L2 0
3169.58 C L1 8
3169.58 C L2 0
3228.04 C L1 7
3228.04 C L2 0
3322.93 C L1 6
3322.93 C L2 0
3369.68 C L1 7
3369.68 C L2 0
3435.48 C L1 8
3435.48 C L2 0
3454.33 C L1 9
3454.33 C L2 0
3483.08 C L1 8
3483.08 C L2 0
3513.11 C L1 7
3513.11 C L2 0
3583.04 C L1 6
3583.04 C L2 0
3619.41 C L1 7
3619.41 C L2 0
3854.60 C L1 6
3854.60 C L2 0
3863.22 C L1 5
3863.22 C L2 0
3936.78 C L1 6
3936.78 C L2 0
3962.38 C L1 6
3962.38 C L2 1
4044.58 C L1 7
4044.58 C L2 1
3556.59 P* L1 0.974334908729 0:0.080 20:0.087 40:0.104 60:0.113 80:0.116 100:0.116 120:0.111 140:0.100 160:0.082 180:0.091
3556.59 P* L2 0.92357359759 0:0.175 20:0.105 40:0.106 60:0.106 80:0.104 100:0.099 120:0.090 140:0.077 160:0.061 180:0.077
4063.99 D L1
4063.99 P L1 1.0 0:0.038 20:0.071 40:0.096 60:0.113 80:0.123 100:0.126 120:0.125 140:0.117 160:0.103 180:0.088
4063.99 P L2 0.923542053202 0:0.176 20:0.105 40:0.105 60:0.105 80:0.102 100:0.097 120:0.088 140:0.076 160:0.062 180:0.083
4063.99 C L1 6
4063.99 C L2 1
4075.68 C L1 5
4075.68 C L2 1
4098.08 C L1 6
4098.08 C L2 1
4274.52 C L1 6
4274.52 C L2 0
4317.64 C L1 7
4317.64 C L2 0
4329.69 A L1
4329.69 P L1 1.0 0:0.036 20:0.069 40:0.094 60:0.111 80:0.122 100:0.126 120:0.124 140:0.115 160:0.099 180:0.104
4329.69 P L2 0.923480878749 0:0.176 20:0.105 40:0.105 60:0.104 80:0.101 100:0.096 120:0.087 140:0.076 160:0.063 180:0.089
4329.69 C L1 8
4329.69 C L2 0
4381.03 C L1 7
4381.03 C L2 0
4479.29 C L1 8
4479.29 C L2 0
4481.34 C L1 9
4481.34 C L2 0
4493.25 C L1 10
4493.25 C L2 0
4512.26 C L1 11
4512.26 C L2 0
4527.00 C L1 12
4527.00 C L2 0
4559.01 C L1 11
4559.01 C L2 0
4709.96 C L1 12
4709.96 C L2 0
4720.50 C L1 11
4720.50 C L2 0
4802.99 C L1 10
4802.99 C L2 0
4884.74 C L1 11
4884.74 C L2 0
4955.37 C L1 12
4955.37 C L2 0
4978.64 C L1 11
4978.64 C L2 0
5062.17 C L1 10
5062.17 C L2 0
5069.82 C L1 9
5069.82 C L2 0
5116.42 A L1
5116.42 P L1 1.0 0:0.076 20:0.107 40:0.122 60:0.131 80:0.132 100:0.126 120:0.112 140:0.091 160:0.062 180:0.042
5116.42 P L2 0.923438507493 0:0.176 20:0.105 40:0.104 60:0.103 80:0.100 100:0.094 120:0.086 140:0.075 160:0.064 180:0.093
5116.42 C L1 10
5116.42 C L2 0
5151.81 C L1 9
5151.81 C L2 0
5288.57 C L1 10
5288.57 C L2 0
5309.55 C L1 9
5309.55 C L2 0
5312.69 C L1 8
5312.69 C L2 0
5358.87 C L1 9
5358.87 C L2 0
5394.28 C L1 10
5394.28 C L2 0
5511.47 C L1 9
5511.47 C L2 0
5617.09 C L1 8
5617.09 C L2 0
5634.39 C L1 7
5634.39 C L2 0
5659.56 C L1 8
5659.56 C L2 0
5663.45 C L1 7
5663.45 C L2 0
5727.86 C L1 6
5727.86 C L2 0
5792.37 C L1 7
5792.37 C L2 0
5805.44 C L1 8
5805.44 C L2 0
5884.99 C L1 9
5884.99 C L2 0
5914.96 C L1 10
5914.96 C L2 0
5935.11 C L1 11
5935.11 C L2 0
5949.20 C L1 10
5949.20 C L2 0
5956.28 C L1 9
5956.28 C L2 0
5958.76 C L1 8
5958.76 C L2 0
5960.45 C L1 9
5960.45 C L2 0
5961.96 C L1 8
5961.96 C L2 0
5983.74 C L1 7
5983.74 C L2 0
6027.65 C L1 8
6027.65 C L2 0
6107.06 C L1 9
6107.06 C L2 0
6117.74 C L1 10
6117.74 C L2 0
6150.12 C L1 11
6150.12 C L2 0
6152.90 C L1 12
6152.90 C L2 0
6214.30 C L1 13
6214.30 C L2 0
6246.85 C L1 14
6246.85 C L2 0
6016.42 P* L2 0.923430440546 0:0.176 20:0.104 40:0.104 60:0.102 80:0.099 100:0.093 120:0.085 140:0.075 160:0.065 180:0.097
6016.42 P* L1 0.970371041345 0:0.093 20:0.099 40:0.118 60:0.127 80:0.128 100:0.122 120:0.109 140:0.088 160:0.062 180:0.055
6277.67 A L2
6277.67 P L1 0.959140062826 0:0.106 20:0.095 40:0.113 60:0.123 80:0.124 100:0.118 120:0.105 140:0.086 160:0.063 180:0.066
6277.67 P L2 1.0 0:0.102 20:0.113 40:0.112 60:0.110 80:0.106 100:0.100 120:0.092 140:0.082 160:0.072 180:0.110
6277.67 C L1 14
6277.67 C L2 1
6329.87 C L1 14
6329.87 C L2 0
6333.67 C L1 13
6333.67 C L2 0
6347.21 C L1 12
6347.21 C L2 0
6400.43 C L1 11
6400.43 C L2 0
6403.34 C L1 12
6403.34 C L2 0
6462.17 C L1 13
6462.17 C L2 0
6516.07 C L1 14
6516.07 C L2 0
6519.02 C L1 13
6519.02 C L2 0
6581.90 C L1 14
6581.90 C L2 0
6606.11 C L1 15
6606.11 C L2 0
6619.54 C L1 16
6619.54 C L2 0
6664.01 C L1 15
6664.01 C L2 0
6733.43 C L1 14
6733.43 C L2 0
6753.17 C L1 13
6753.17 C L2 0
6834.67 C L1 12
6834.67 C L2 0
6849.01 C L1 13
6849.01 C L2 0
6855.06 C L1 13
6855.06 C L2 1
6911.57 C L1 14
6911.57 C L2 1
6916.43 C L1 13
6916.43 C L2 1
7022.12 C L1 13
7022.12 C L2 0
7056.25 C L1 14
7056.25 C L2 0
7070.67 D L1
7070.67 P L1 1.0 0:0.048 20:0.082 40:0.105 60:0.121 80:0.130 100:0.130 120:0.122 140:0.107 160:0.087 180:0.069
7070.67 P L2 0.901898934611 0:0.190 20:0.108 40:0.109 60:0.106 80:0.100 100:0.093 120:0.084 140:0.075 160:0.065 180:0.070
7070.67 C L1 13
7070.67 C L2 0
7190.39 C L1 14
7190.39 C L2 0
7290.29 C L1 13
7290.29 C L2 0
7313.21 C L1 14
7313.21 C L2 0
7365.71 C L1 15
7365.71 C L2 0
7445.04 C L1 16
7445.04 C L2 0
7529.32 C L1 17
7529.32 C L2 0
7537.22 C L1 18
7537.22 C L2 0
7560.59 C L1 19
7560.59 C L2 0
7565.84 C L1 19
7565.84 C L2 1
7622.58 C L1 20
7622.58 C L2 1
7724.99 C L1 21
7724.99 C L2 1
7795.58 C L1 22
7795.58 C L2 1
7852.15 C L1 23
7852.15 C L2 1
7880.79 C L1 23
7880.79 C L2 0
7934.87 C L1 22
7934.87 C L2 0
7966.99 C L1 21
7966.99 C L2 0
7998.07 C L1 20
7998.07 C L2 0
8079.85 C L1 21
8079.85 C L2 0
7970.67 P* L1 0.980183898605 0:0.064 20:0.078 40:0.101 60:0.117 80:0.126 100:0.126 120:0.118 140:0.104 160:0.084 180:0.082
7970.67 P* L2 0.914603979677 0:0.190 20:0.108 40:0.107 60:0.105 80:0.099 100:0.092 120:0.084 140:0.074 160:0.063 180:0.078
8093.83 A L1
