<root>
  <name value="Multiple Fill"/>
  <lot name="L1" capacity="200" count="0" weight="0.9" poi="A" order="1"/>
  <lot name="L2" capacity="200" count="0" weight="0.1" poi="A" order="2"/>
  <rate length="8H" arrival="10H" departure="10H"/>
  <rate length="1H" arrival="300H" departure="10H"/>
  <rate length="1H" arrival="10H" departure="300H"/>
  <rate length="1H" arrival="300H" departure="10H"/>
  <rate length="1H" arrival="10H" departure="300H"/>
  <rate length="1H" arrival="300H" departure="10H"/>
  <rate length="1H" arrival="10H" departure="300H"/>
  <rate length="1H" arrival="300H" departure="10H"/>
  <rate length="1H" arrival="10H" departure="300H"/>
  <rate length="8H" arrival="10H" departure="10H"/>
  <simulation monitored="0.1" search="0.0" arrival="0.9" departure="0.9" seed="1"/>
  <estimation error="0.1" interval="900.0" seed="None" search="1.0"/>
</root>

--------------------------
11718.67 P* L1 0.980939444894 0:0.086 20:0.109 40:0.126 60:0.132 80:0.129 100:0.119 120:0.103 140:0.083 160:0.060 180:0.051
11876.53 A L1
11876.53 P L1 1.0 0:0.067 20:0.108 40:0.127 60:0.134 80:0.131 100:0.121 120:0.105 140:0.085 160:0.062 180:0.058
11876.53 C L1 5
11876.53 C L2 0
12135.68 C L1 4
12135.68 C L2 0
12235.15 C L1 3
12235.15 C L2 0
12406.24 C L1 2
12406.24 C L2 0
12511.45 C L1 1
12511.45 C L2 0
12526.00 C L1 0
12526.00 C L2 0
12852.79 C L1 0
12852.79 C L2 0
12876.20 C L1 0
12876.20 C L2 0
13473.54 C L1 1
13473.54 C L2 0
14136.13 C L1 0
14136.13 C L2 0
14244.08 C L1 0
14244.08 C L2 0
14345.92 C L1 0
14345.92 C L2 0
14881.02 C L1 1
14881.02 C L2 0
15820.82 C L1 0
15820.82 C L2 0
15898.28 C L1 1
15898.28 C L2 0
15957.93 C L1 0
15957.93 C L2 0
12776.53 P* L1 0.983454950903 0:0.077 20:0.103 40:0.124 60:0.132 80:0.130 100:0.120 120:0.104 140:0.084 160:0.063 180:0.063
13676.53 P* L1 0.976227370531 0:0.086 20:0.100 40:0.121 60:0.129 80:0.128 100:0.119 120:0.103 140:0.084 160:0.064 180:0.067
14576.53 P* L1 0.971701064131 0:0.093 20:0.097 40:0.118 60:0.127 80:0.126 100:0.117 120:0.102 140:0.084 160:0.064 180:0.071
15476.53 P* L1 0.968426666512 0:0.099 20:0.096 40:0.115 60:0.125 80:0.124 100:0.116 120:0.102 140:0.084 160:0.065 180:0.075
16044.79 A L1
16044.79 P L1 1.0 0:0.083 20:0.113 40:0.128 60:0.133 80:0.128 100:0.116 120:0.100 140:0.081 160:0.063 180:0.056
16044.79 C L1 1
16044.79 C L2 0
16059.15 C L1 0
16059.15 C L2 0
16071.27 C L1 1
16071.27 C L2 0
16321.83 C L1 2
16321.83 C L2 0
16390.32 C L1 3
16390.32 C L2 0
16529.04 C L1 4
16529.04 C L2 0
16624.75 C L1 3
16624.75 C L2 0
16636.37 C L1 2
16636.37 C L2 0
16654.11 C L1 3
16654.11 C L2 0
16724.75 C L1 4
16724.75 C L2 0
17121.45 C L1 5
17121.45 C L2 0
17492.02 C L1 4
17492.02 C L2 0
17709.42 C L1 3
17709.42 C L2 0
17716.02 C L1 4
17716.02 C L2 0
17718.31 C L1 3
17718.31 C L2 0
17739.18 C L1 4
17739.18 C L2 0
17826.28 C L1 3
17826.28 C L2 0
18076.46 C L1 2
18076.46 C L2 0
18080.43 C L1 3
18080.43 C L2 0
18172.22 C L1 4
18172.22 C L2 0
16944.79 P* L1 0.979596854426 0:0.091 20:0.109 40:0.125 60:0.130 80:0.126 100:0.115 120:0.099 140:0.081 160:0.063 180:0.061
