<root>
  <name value="High Churn"/>
  <lot name="L1" capacity="200" count="200" weight="0.9" poi="A" order="1"/>
  <lot name="L2" capacity="200" count="200" weight="0.1" poi="A" order="1"/>
  <rate length="4H" arrival="200H" departure="150H"/>
  <rate length="4H" arrival="150H" departure="200H"/>
  <rate length="4H" arrival="200H" departure="150H"/>
  <rate length="4H" arrival="150H" departure="200H"/>
  <rate length="4H" arrival="200H" departure="150H"/>
  <rate length="4H" arrival="150H" departure="200H"/>
  <simulation monitored="0.1" search="0.0" arrival="0.9" departure="0.9" seed="3"/>
  <estimation error="0.5" interval="900.0" seed="None" search="1.0" monitored="0.0760481543211"/>
</root>

--------------------------
4.89 C L1 200
4.89 C L2 200
6.11 C L1 200
6.11 C L2 200
10.92 C L1 200
10.92 C L2 200
18.86 C L1 200
18.86 C L2 199
22.56 A L2
22.56 P L1 0.965996712023 0:0.106 20:0.094 40:0.098 60:0.099 80:0.099 100:0.099 120:0.099 140:0.099 160:0.095 180:0.110
22.56 P L2 1.0 0:0.072 20:0.098 40:0.102 60:0.103 80:0.103 100:0.103 120:0.103 140:0.102 160:0.098 180:0.115
22.56 C L1 200
22.56 C L2 200
38.66 C L1 200
38.66 C L2 200
50.18 C L1 200
50.18 C L2 200
67.47 C L1 199
67.47 C L2 200
95.89 C L1 200
95.89 C L2 200
100.30 C L1 200
100.30 C L2 200
106.74 C L1 200
106.74 C L2 200
122.58 C L1 200
122.58 C L2 200
133.28 C L1 200
133.28 C L2 199
137.56 C L1 200
137.56 C L2 198
157.76 C L1 200
157.76 C L2 197
170.17 C L1 200
170.17 C L2 198
171.84 C L1 200
171.84 C L2 199
178.22 C L1 200
178.22 C L2 198
179.32 C L1 200
179.32 C L2 197
198.20 A L2
198.2 P L1 0.958154669511 0:0.113 20:0.090 40:0.097 60:0.099 80:0.099 100:0.099 120:0.099 140:0.097 160:0.091 180:0.117
198.2 P L2 1.0 0:0.059 20:0.093 40:0.102 60:0.105 80:0.106 100:0.106 120:0.105 140:0.103 160:0.097 180:0.124
198.20 C L1 200
198.20 C L2 198
198.78 C L1 200
198.78 C L2 199
199.56 C L1 200
199.56 C L2 200
208.10 C L1 200
208.10 C L2 200
224.40 C L1 200
224.40 C L2 200
237.13 C L1 200
237.13 C L2 200
243.58 C L1 200
243.58 C L2 200
243.78 C L1 200
243.78 C L2 200
261.00 C L1 200
261.00 C L2 200
272.30 C L1 200
272.30 C L2 200
273.98 C L1 199
273.98 C L2 200
296.41 C L1 200
296.41 C L2 200
303.36 C L1 200
303.36 C L2 200
319.65 C L1 200
319.65 C L2 200
320.14 C L1 200
320.14 C L2 200
324.68 C L1 200
324.68 C L2 200
334.96 C L1 200
334.96 C L2 200
342.27 C L1 200
342.27 C L2 200
345.61 C L1 200
345.61 C L2 200
353.31 C L1 199
353.31 C L2 200
356.41 C L1 200
