<root>
  <name value="Slow Fill"/>
  <lot name="L1" capacity="200" count="0" weight="0.9" poi="A" order="1"/>
  <lot name="L2" capacity="200" count="0" weight="0.1" poi="A" order="2"/>
  <rate length="6H" arrival="10H" departure="10H"/>
  <rate length="6H" arrival="60H" departure="10H"/>
  <rate length="6H" arrival="10H" departure="60H"/>
  <rate length="6H" arrival="10H" departure="10H"/>
  <simulation monitored="0.1" search="0.0" arrival="0.9" departure="0.9" seed="2"/>
  <estimation error="0.2" interval="900.0" seed="None" search="1.0" monitored="0.0870719029117"/>
</root>

--------------------------
8569.6 P* L2 0.952486886445 0:0.127 20:0.088 40:0.092 60:0.095 80:0.096 100:0.096 120:0.095 140:0.092 160:0.088 180:0.132
9469.6 P* L2 0.95205331544 0:0.128 20:0.088 40:0.091 60:0.094 80:0.096 100:0.096 120:0.094 140:0.092 160:0.088 180:0.133
10369.6 P* L2 0.951675702717 0:0.129 20:0.088 40:0.091 60:0.094 80:0.095 100:0.096 120:0.094 140:0.091 160:0.088 180:0.133
10578.99 A L1
10578.99 P L1 1.0 0:0.067 20:0.087 40:0.101 60:0.111 80:0.115 100:0.114 120:0.109 140:0.099 160:0.086 180:0.112
10578.99 P L2 0.951343755435 0:0.130 20:0.088 40:0.091 60:0.094 80:0.095 100:0.095 120:0.094 140:0.091 160:0.088 180:0.134
10578.99 C L1 2
10578.99 C L2 0
10739.14 C L1 1
10739.14 C L2 0
10746.99 C L1 2
10746.99 C L2 0
10816.05 C L1 1
10816.05 C L2 0
10846.27 C L1 0
10846.27 C L2 0
11251.25 C L1 1
11251.25 C L2 0
11270.99 C L1 0
11270.99 C L2 0
11714.07 C L1 1
11714.07 C L2 0
11848.09 C L1 0
11848.09 C L2 0
11974.83 C L1 0
11974.83 C L2 0
12082.94 C L1 0
12082.94 C L2 0
11478.99 P* L1 0.981099358826 0:0.074 20:0.084 40:0.100 60:0.109 80:0.113 100:0.112 120:0.107 140:0.098 160:0.086 180:0.116
12378.99 P* L1 0.974175753149 0:0.081 20:0.082 40:0.098 60:0.107 80:0.112 100:0.111 120:0.106 140:0.097 160:0.086 180:0.119
11478.99 P* L2 0.951049780602 0:0.131 20:0.088 40:0.091 60:0.093 80:0.095 100:0.095 120:0.093 140:0.091 160:0.088 180:0.135
12378.99 P* L2 0.950787889489 0:0.131 20:0.088 40:0.091 60:0.093 80:0.094 100:0.094 120:0.093 140:0.091 160:0.088 180:0.136
12828.04 A L1
12828.04 P L1 1.0 0:0.057 20:0.083 40:0.099 60:0.109 80:0.114 100:0.114 120:0.109 140:0.100 160:0.090 180:0.126
12828.04 P L2 0.950553476033 0:0.132 20:0.088 40:0.091 60:0.093 80:0.094 100:0.094 120:0.093 140:0.091 160:0.089 180:0.136
12828.04 C L1 1
12828.04 C L2 0
12985.87 D L1
12985.87 P L1 1.0 0:0.049 20:0.084 40:0.103 60:0.114 80:0.120 100:0.120 120:0.115 140:0.107 160:0.097 180:0.092
12985.87 P L2 0.950342865467 0:0.132 20:0.089 40:0.091 60:0.093 80:0.094 100:0.094 120:0.093 140:0.091 160:0.089 180:0.137
12985.87 C L1 0
12985.87 C L2 0
13798.96 C L1 0
13798.96 C L2 0
13848.48 C L1 0
13848.48 C L2 0
14248.40 C L1 0
14248.40 C L2 0
14515.63 C L1 0
14515.63 C L2 0
15022.58 C L1 1
15022.58 C L2 0
15474.94 C L1 2
15474.94 C L2 0
15593.66 C L1 1
15593.66 C L2 0
13885.87 P* L1 0.986072991784 0:0.059 20:0.080 40:0.100 60:0.112 80:0.118 100:0.118 120:0.114 140:0.106 160:0.094 180:0.098
14785.87 P* L1 0.979496505999 0:0.068 20:0.077 40:0.098 60:0.110 80:0.116 100:0.117 120:0.113 140:0.105 160:0.092 180:0.104
15685.87 P* L1 0.975225138881 0:0.075 20:0.076 40:0.096 60:0.108 80:0.115 100:0.116 120:0.111 140:0.103 160:0.090 180:0.110
13885.87 P* L2 0.950153072248 0:0.133 20:0.089 40:0.091 60:0.092 80:0.093 100:0.093 120:0.092 140:0.091 160:0.089 180:0.137
14785.87 P* L2 0.949981630156 0:0.133 20:0.089 40:0.091 60:0.092 80:0.093 100:0.093 120:0.092 140:0.091 160:0.089 180:0.138
15685.87 P* L2 0.949826471087 0:0.134 20:0.089 40:0.091 60:0.092 80:0.093 100:0.093 120:0.092 140:0.091 160:0.089 180:0.138
15900.38 D L1
15900.38 P L1 1.0 0:0.054 20:0.080 40:0.100 60:0.114 80:0.121 100:0.122 120:0.118 140:0.110 160:0.097 180:0.085
15900.38 P L2 0.949685837351 0:0.134 20:0.089 40:0.090 60:0.092 80:0.093 100:0.093 120:0.092 140:0.091 160:0.089 180:0.138
15900.38 C L1 0
15900.38 C L2 0
15912.27 C L1 1
15912.27 C L2 0
16099.13 C L1 2
16099.13 C L2 0
16329.39 C L1 2
16329.39 C L2 1
16669.17 C L1 2
16669.17 C L2 0
16716.16 C L1 3
16716.16 C L2 0
17018.68 C L1 2
17018.68 C L2 0
17078.82 C L1 3
17078.82 C L2 0
17549.46 C L1 4
17549.46 C L2 0
17587.58 C L1 5
17587.58 C L2 0
17791.77 C L1 4
17791.77 C L2 0
17845.18 C L1 3
17845.18 C L2 0
18078.45 C L1 4
18078.45 C L2 0
18105.67 C L1 5
18105.67 C L2 0
18145.75 C L1 4
18145.75 C L2 0
16800.38 P* L1 0.984502165213 0:0.062 20:0.077 40:0.098 60:0.112 80:0.119 100:0.121 120:0.117 140:0.108 160:0.094 180:0.092
17700.38 P* L1 0.978217090664 0:0.070 20:0.076 40:0.096 60:0.110 80:0.117 100:0.119 120:0.115 140:0.106 160:0.091 180:0.099
16800.38 P* L2 0.949558217329 0:0.134 20:0.089 40:0.090 60:0.092 80:0.092 100:0.092 120:0.092 140:0.090 160:0.089 180:0.139
17700.38 P* L2 0.949442297659 0:0.134 20:0.089 40:0.090 60:0.091 80:0.092 100:0.092 120:0.092 140:0.090 160:0.089 180:0.139
18292.56 D L1
