<root>
  <name value="High Churn"/>
  <lot name="L1" capacity="200" count="200" weight="0.9" poi="A" order="1"/>
  <lot name="L2" capacity="200" count="200" weight="0.1" poi="A" order="1"/>
  <rate length="4H" arrival="200H" departure="150H"/>
  <rate length="4H" arrival="150H" departure="200H"/>
  <rate length="4H" arrival="200H" departure="150H"/>
  <rate length="4H" arrival="150H" departure="200H"/>
  <rate length="4H" arrival="200H" departure="150H"/>
  <rate length="4H" arrival="150H" departure="200H"/>
  <simulation monitored="0.2" search="0.0" arrival="0.9" departure="0.9" seed="7"/>
  <estimation error="0.1" interval="900.0" seed="None" search="1.0" monitored="0.189858619718"/>
</root>

--------------------------
864.08 P L1 1.0 0:0.043 20:0.092 40:0.110 60:0.114 80:0.114 100:0.114 120:0.114 140:0.112 160:0.104 180:0.084
864.08 P L2 0.97816871052 0:0.104 20:0.095 40:0.099 60:0.099 80:0.099 100:0.099 120:0.099 140:0.099 160:0.096 180:0.109
864.08 C L1 198
864.08 C L2 200
874.05 C L1 199
874.05 C L2 200
882.94 D L1
882.94 P L1 1.0 0:0.039 20:0.090 40:0.110 60:0.115 80:0.116 100:0.116 120:0.116 140:0.114 160:0.105 180:0.079
882.94 P L2 0.97795020007 0:0.105 20:0.095 40:0.099 60:0.099 80:0.099 100:0.099 120:0.099 140:0.099 160:0.095 180:0.109
882.94 C L1 198
882.94 C L2 200
897.45 C L1 197
897.45 C L2 200
903.17 C L1 198
903.17 C L2 200
904.94 C L1 197
904.94 C L2 200
905.26 C L1 198
905.26 C L2 200
913.91 D L1
913.91 P L1 1.0 0:0.036 20:0.087 40:0.110 60:0.116 80:0.117 100:0.117 120:0.117 140:0.115 160:0.106 180:0.077
913.91 P L2 0.977761466948 0:0.105 20:0.095 40:0.099 60:0.099 80:0.099 100:0.099 120:0.099 140:0.099 160:0.095 180:0.110
913.91 C L1 197
913.91 C L2 200
914.28 D L2
914.28 P L1 0.997410804698 0:0.039 20:0.086 40:0.109 60:0.116 80:0.117 100:0.117 120:0.117 140:0.115 160:0.105 180:0.079
914.28 P L2 1.0 0:0.083 20:0.099 40:0.103 60:0.104 80:0.104 100:0.104 120:0.104 140:0.103 160:0.100 180:0.097
914.28 C L1 197
914.28 C L2 199
917.74 C L1 198
917.74 C L2 199
930.03 C L1 199
930.03 C L2 199
950.98 C L1 199
950.98 C L2 200
973.06 C L1 200
973.06 C L2 200
974.07 C L1 200
974.07 C L2 200
979.38 C L1 200
979.38 C L2 200
979.75 C L1 200
979.75 C L2 199
988.07 C L1 199
988.07 C L2 199
995.41 C L1 199
995.41 C L2 198
1002.13 C L1 199
1002.13 C L2 197
1002.16 C L1 198
1002.16 C L2 197
1007.54 C L1 198
1007.54 C L2 196
1009.80 D L1
1009.8 P L1 1.0 0:0.025 20:0.073 40:0.105 60:0.117 80:0.120 100:0.121 120:0.120 140:0.119 160:0.111 180:0.089
1009.8 P L2 0.991371795518 0:0.083 20:0.098 40:0.103 60:0.104 80:0.104 100:0.104 120:0.104 140:0.103 160:0.099 180:0.097
1009.80 C L1 197
1009.80 C L2 196
1016.16 C L1 197
1016.16 C L2 195
1016.18 C L1 198
1016.18 C L2 195
1023.29 C L1 198
1023.29 C L2 196
1041.84 C L1 199
1041.84 C L2 196
1041.88 D L2
1041.88 P L1 0.998290800023 0:0.027 20:0.072 40:0.104 60:0.117 80:0.120 100:0.120 120:0.120 140:0.118 160:0.110 180:0.090
1041.88 P L2 1.0 0:0.069 20:0.100 40:0.105 60:0.107 80:0.107 100:0.107 120:0.107 140:0.106 160:0.102 180:0.090
1041.88 C L1 199
1041.88 C L2 195
1058.73 C L1 199
1058.73 C L2 194
1059.61 C L1 200
1059.61 C L2 194
1064.31 A L2
1064.31 P L1 0.997086651029 0:0.030 20:0.072 40:0.103 60:0.116 80:0.120 100:0.120 120:0.120 140:0.118 160:0.109 180:0.092
1064.31 P L2 1.0 0:0.063 20:0.100 40:0.106 60:0.108 80:0.108 100:0.108 120:0.108 140:0.107 160:0.102 180:0.091
1064.31 C L1 200
1064.31 C L2 195
1079.03 C L1 200
1079.03 C L2 196
1079.09 C L1 200
1079.09 C L2 197
1079.78 C L1 199
1079.78 C L2 197
1081.64 C L1 198
1081.64 C L2 197
1098.47 C L1 198
1098.47 C L2 198
1110.20 C L1 199
1110.20 C L2 198
1113.95 C L1 198
1113.95 C L2 198
1128.73 A L1
1128.73 P L1 1.0 0:0.028 20:0.071 40:0.103 60:0.116 80:0.120 100:0.121 120:0.121 140:0.118 160:0.108 180:0.094
1128.73 P L2 0.994714331457 0:0.065 20:0.098 40:0.106 60:0.108 80:0.108 100:0.108 120:0.108 140:0.106 160:0.101 180:0.092
1128.73 C L1 199
1128.73 C L2 198
1134.37 C L1 200
1134.37 C L2 198
1140.55 A L2
