<root>
  <name value="High Churn"/>
  <lot name="L1" capacity="200" count="200" weight="0.9" poi="A" order="1"/>
  <lot name="L2" capacity="200" count="200" weight="0.1" poi="A" order="1"/>
  <rate length="4H" arrival="200H" departure="150H"/>
  <rate length="4H" arrival="150H" departure="200H"/>
  <rate length="4H" arrival="200H" departure="150H"/>
  <rate length="4H" arrival="150H" departure="200H"/>
  <rate length="4H" arrival="200H" departure="150H"/>
  <rate length="4H" arrival="150H" departure="200H"/>
  <simulation monitored="0.1" search="0.0" arrival="0.9" departure="0.9" seed="1"/>
  <estimation error="0.1" interval="900.0" seed="None" search="1.0"/>
</root>

--------------------------
2.60 C L1 200
2.60 C L2 200
13.34 C L1 200
13.34 C L2 200
13.86 C L1 200
13.86 C L2 200
13.90 C L1 200
13.90 C L2 200
45.12 D L2
45.12 P L1 0.973349603594 0:0.103 20:0.097 40:0.099 60:0.099 80:0.099 100:0.099 120:0.099 140:0.099 160:0.097 180:0.107
45.12 P L2 1.0 0:0.075 20:0.102 40:0.105 60:0.105 80:0.105 100:0.105 120:0.105 140:0.105 160:0.103 180:0.090
45.12 C L1 200
45.12 C L2 199
66.19 A L2
66.19 P L1 0.967356998171 0:0.106 20:0.094 40:0.098 60:0.099 80:0.099 100:0.099 120:0.099 140:0.099 160:0.094 180:0.111
66.19 P L2 1.0 0:0.063 20:0.099 40:0.106 60:0.107 80:0.107 100:0.107 120:0.107 140:0.106 160:0.101 180:0.097
66.19 C L1 200
66.19 C L2 200
76.56 C L1 200
76.56 C L2 200
81.01 C L1 200
81.01 C L2 200
112.31 C L1 200
112.31 C L2 199
113.72 C L1 200
113.72 C L2 200
136.08 C L1 200
136.08 C L2 200
156.05 C L1 200
156.05 C L2 200
189.75 C L1 200
189.75 C L2 200
194.75 C L1 200
194.75 C L2 200
209.08 C L1 200
209.08 C L2 200
219.48 C L1 200
219.48 C L2 200
228.48 C L1 200
228.48 C L2 200
229.88 C L1 200
229.88 C L2 199
234.36 C L1 200
234.36 C L2 198
250.35 C L1 200
250.35 C L2 199
252.97 C L1 199
252.97 C L2 199
265.87 C L1 200
265.87 C L2 199
304.99 C L1 200
304.99 C L2 200
314.98 C L1 200
314.98 C L2 200
319.00 C L1 200
319.00 C L2 200
326.64 C L1 200
326.64 C L2 200
328.56 C L1 199
328.56 C L2 200
337.67 C L1 200
337.67 C L2 200
349.63 C L1 199
349.63 C L2 200
351.72 C L1 198
351.72 C L2 200
358.61 C L1 197
358.61 C L2 200
360.34 C L1 196
360.34 C L2 200
367.99 C L1 196
367.99 C L2 199
368.19 C L1 197
368.19 C L2 199
371.94 C L1 198
371.94 C L2 199
376.16 A L1
376.16 P L1 1.0 0:0.074 20:0.095 40:0.101 60:0.103 80:0.103 100:0.103 120:0.103 140:0.102 160:0.096 180:0.119
